warscroll_id|line|name|description|legend|ability_type|is_reaction|condition|keywords|ability_phase|points_type|points|
000000022|2|Sniffer Spite|<b>Effect:</b> If this unit’s <b>Zarbag</b> is on the battlefield and within 3" of a <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain feature</a>, roll a dice. On a 4+, add 1 to this unit’s <a href="/aos4/the-rules/the-core-rules/#Power-Level">power level</a> for the rest of the turn.|Zarbag has captured and imprisoned a sniffer spite which he has ‘persuaded’ to track down potent magic fungi.|Special|false|Your Hero Phase||Hero Phase|||
000000023|1|Let’s Get Stabbin’!|<b>Effect:</b> Pick a friendly <span class="tooltip00041" data-tooltip-content="#tooltip_content00041" data-tooltip-anchor="#tooltip_content00041"><span class="kwnon">non-</span><span class="kwb">HERO</span> <span class="kwb">MOONCLAN</span> <span class="kwb">INFANTRY</span></span> unit that has not used a <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> this turn and is within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> to be the target. The target can be picked to use a <span class="kwb">FIGHT</span> ability immediately after the <span class="kwb">FIGHT</span> ability used by this unit has been resolved.|Loonbosses rarely get stuck in without a big group of ladz around them to act as a distraction.|Offensive|true|Reaction: You declared a <ky>FIGHT</ky> ability for this unit||Combat Phase|||
000000023|2|I’m Da Boss|<b>Declare:</b> Pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> friendly <a href="/aos4/factions/gloomspite-gitz/Moonclan-Stabbas"><b>Moonclan Stabbas</b></a> unit wholly within 12" of this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 2+, pick 1 of the following effects:<br><br><b><i>Get Back ’Ere!:</i></b> If the target is not in combat, you can return D6 <a href="/aos4/the-rules/the-core-rules/#Slain-Models">slain models</a> to it.<br><br><i><b>Stab ’Em Good!:</b></i> Add 1 to <a href="">wound rolls</a> for the target’s attacks until the start of your next turn.|Loonbosses are terrible bullies and braggarts with a wicked talent for coercing other grots.|Special|false|Your Hero Phase||Hero Phase|||
000000024|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Chitinous Legs</b> is 6.||Damage|false|Passive||Start of Turn|||
000000024|2|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000024|3|Catchweb Spidershrine|<b>Effect:</b> Add 1 to <a href="/aos4/the-rules/the-core-rules/#Spells">casting rolls</a> for friendly <span class="tooltip00042" data-tooltip-content="#tooltip_content00042" data-tooltip-anchor="#tooltip_content00042"><span class="kwb">SPIDERFANG</span> <span class="kwb">WIZARDS</span></span> while they are wholly within 12" of this unit.|This ramshackle altar to the Spider God shimmers with malevolent arcane energy.|Special|false|Passive||Hero Phase|||
000000024|4|Ensnaring Webbing|<b>Declare:</b> Pick an enemy <span class="kwb">INFANTRY</span> <span class="kwb">HERO</span> within 1" of this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, the target has <a href="/aos4/the-rules/the-core-rules/#Strike-first-and-Strike-last">STRIKE-LAST</a> for the rest of the turn.|The Arachnarok singles out a target, temporarily immobilising it with looping strands of sticky webbing.|Defensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000025|1|Stuff ’Em In Me Bag|<b>Declare:</b> Pick an enemy unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. If the roll is at least double the target’s Health characteristic, 1 model in the target unit is slain.|Gargants are known to grab hapless warriors and stuff them screaming into their bags ‘for later’…|Offensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000025|2|Timberrrrr!|<b>Effect:</b> When this unit is destroyed, before removing it from play, the players must <a href="">roll off</a>. The winner picks a point on the battlefield within 3" of this unit. Inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on each unit (friendly and enemy) within 3" of that point that has a lower Health characteristic than this unit.|A dying gargant is a weapon of ruin in its own right, though it is anyone’s guess where their body will fall.|Offensive|false|Passive||Combat Phase|||
000000026|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Chitinous Legs</b> is 6.||Damage|false|Passive||Start of Turn|||
000000026|2|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000026|3|Flinger|<b>Effect:</b> If any attacks made with this unit’s <b>Flinger</b> score a hit, after the <span class="kwb">SHOOT</span> ability has been resolved, roll a dice. On a 2+, halve the Move characteristic of the target unit until the start of your next turn.|This crude catapult hurls a heavy ball of corded spider-silk at the enemy, engulfing victims in a mass of sticky webbing.|Shooting|false|Passive||Shooting Phase|||
000000026|4|Beast-binding Webbing|<b>Declare:</b> Pick an enemy unit that charged this turn and is in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, subtract 1 from the Attacks characteristic of the target’s <a href=""><b>Companion</b></a> weapons for the rest of the turn.|As enemy beasts attempt to close the distance with an Arachnarok, they become tangled in its webbing.|Defensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000027|1|Battle Damaged|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Chitinous Legs</b> is 6.||Damage|false|Passive||Start of Turn|||
000000027|2|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000027|3|Voracious Predator|<b>Declare:</b> Pick up to 3 enemy units within 1" of this unit to be the targets.<br><br><b>Effect:</b> Roll a D3 for each target. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.|Young Arachnarok Spiders are swift hunters despite their immense size, with an unquenchable hunger for living prey.|Offensive|false|Once Per Turn (Army), Any Charge Phase|Rampage|Charge Phase|||
000000028|1|Squig Rage|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its Huge Fang-filled Gobs is 6.|As Mangler Squigs are wounded in battle, they become even more irate and violent.|Damage|false|Passive||Start of Turn|||
000000028|2|Watch Out!|<b>Effect:</b> If this unit is destroyed, before removing it from play, roll a dice for each enemy unit within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a>. On a 4+, inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on that unit.|Mangler Squigs are capable of great destruction even in their wildly bouncing death throes.|Offensive|false|Passive||Combat Phase|||
000000028|3|Giant Boing!|<b>Effect:</b> If this unit charged this turn, roll a dice. On a 3+, this unit can move 3D6" but must end that move in combat.|The Mangler Squigs use their momentum to spring up into the air, crashing into the enemy lines beyond.|Movement|false|Once Per Turn (Army), Any Charge Phase|Rampage|Charge Phase|||
000000029|1|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000029|2|Realmweb Lurker|<b>Declare:</b> Pick this unit if it has not been deployed.<br><br><b>Effect:</b> Set up this unit in reserve <b>skittering through tunnels in reality</b>. It has now been deployed.|Skitterstrand Arachnaroks stalk their prey through the arcane paths that connect the realms.|Special|false|Deployment Phase|Deploy|Start of Turn|||
000000029|3|Ambush from Beyond|<b>Declare:</b> Pick this unit if it is <b>skittering through tunnels in reality</b>.<br><br><b>Effect:</b> Set up this unit anywhere on the battlefield more than 9" from all enemy units.|Legs first, then bulbous body, the Skitterstrand drags itself out of a tear in reality.|Movement|false|Any Movement Phase||Movement Phase|||
000000029|4|Scuttling Terror|<b>Effect:</b> If this unit charged this turn, roll a dice. On a 3+, this unit can move 2D6". It can pass through the <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat ranges</a> of enemy units and can pass through models in enemy <span class="kwb">INFANTRY</span> units, but it must end that move in combat.<br><br>Then, pick an enemy <span class="kwb">INFANTRY</span> unit that this unit passed across during that move. Inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on that enemy unit.|The Arachnarok uses its terrifying speed to its advantage, scuttling over and sinking its fangs into the enemy before they have a chance to react.|Special|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000035|1|Boing! Smash!|<b>Declare:</b> If this unit charged this phase,  pick an enemy unit within 1" of it to be the target.<br><br><b>Effect:</b> Roll a dice for each model in this unit. For each 4+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.|Mobs of Boingrot Bounderz smash into their enemies like toothy meteors.|Offensive|false|Any Charge Phase||Charge Phase|||
000000037|1|Regeneration|<b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (D3)</a></b> this unit.|Troggoths are able to regrow injured flesh almost as quickly as it is harmed.|Defensive|false|Start of Any Turn||Start of Turn|||
000000037|2|Noxious Vomit|<b>Effect:</b> If any damage points are allocated to an enemy unit by attacks made with this unit’s <b>Noxious Vomit</b>, that unit is <b>drenched in vomit</b> until the start of your next turn.<br><br>While a unit is <b>drenched in vomit</b>:<br><ul><li>Subtract 1 from <a href="">save rolls</a> for that unit.</li><li>Ignore positive modifiers to save rolls for that unit.</li></ul>|The bilious digestive fluids chucked up by a Fellwater Troggoth can swiftly corrode even sigmarite plate.|Shooting|false|Passive||Shooting Phase|||
000000038|1|Hidden Loons|<b>Declare:</b> Pick this unit if it has not been deployed.<br><br><b>Effect:</b> Set up this unit in reserve <b>hidden among the mobs</b>. It has now been deployed.|Gibbering and bound, Loonsmasha Fanatics are dragged or carried along by the general mass of grots until the time arrives to unrestrain them and pray to the Bad Moon that they head in the right direction.|Special|false|Deployment Phase|Deploy|Start of Turn|||
000000038|2|Release the Fanatics!|<b>Declare:</b> Pick this unit if it is <b>hidden among the mobs</b>. Then, pick a friendly <a href="/aos4/factions/gloomspite-gitz/Moonclan-Shootas"><b>Moonclan Shootas</b></a> or <a href="/aos4/factions/gloomspite-gitz/Moonclan-Stabbas"><b>Moonclan Stabbas</b></a> unit that has 10 or more models to be the target.<br><br><b>Effect:</b> Set up this unit anywhere on the battlefield wholly within 6" of the target and more than 9" from all enemy units.|As the enemy approaches, the Loonsmashas are unleashed.|Movement|false|Any Movement Phase||Movement Phase|||
000000038|3|Whirling Death|<b>Effect:</b> This unit has <a href="/aos4/the-rules/the-core-rules/#Strike-first-and-Strike-last">STRIKE-FIRST</a>.|One might as well try to catch a cannonball as to get the jump on a spinning Fanatic.|Offensive|false|Passive||Combat Phase|||
000000039|1|Regeneration|<b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (D3)</a></b> this unit.|Troggoths are able to regrow injured flesh almost as quickly as it is harmed.|Defensive|false|Start of Any Turn||Start of Turn|||
000000040|1|Looncap Mushrooms|<b>Declare:</b> If this unit is not in combat, pick a friendly <span class="tooltip00039" data-tooltip-content="#tooltip_content00039" data-tooltip-anchor="#tooltip_content00039"><span class="kwb">MOONCLAN</span></span> unit wholly within 12" of it and <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> to it to be the target.<br><br><b>Effect:</b> Roll a dice. Add 1 to the roll if <a href="/aos4/factions/gloomspite-gitz/#Battle-Traits">the face of the Bad Moon</a> is <b>Cacklin’</b> this turn. On a 3+, the target has <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">WARD (5+)</a> until the start of your next turn. On a 6+, also add 1 to the Attacks characteristic of the target’s melee weapons until the start of your next turn.|Looncaps that sprout beneath the Bad Moon’s glare are harvested by Sneaky Snufflers and have an intoxicating effect on any grots that ingest them. Sometimes a particularly potent fungus is found – and that’s when the real carnage starts…|Special|false|Once Per Turn (Army), Your Hero Phase||Hero Phase|||
000000041|1|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000042|1|A Prod in the Right Direction|<b>Effect:</b> This unit can use the ‘<a href="">Normal Move</a>’ ability as if it were your movement phase.|As battle begins, grots like to give the Sporesplattas a helpful prod towards the enemy.|Movement|false|Deployment Phase||Start of Turn|||
000000042|2|Puffshroom Frenzy|<b>Effect:</b> Add 1 to the Attacks characteristic of melee weapons used by other friendly <span class="tooltip00039" data-tooltip-content="#tooltip_content00039" data-tooltip-anchor="#tooltip_content00039"><span class="kwb">MOONCLAN</span></span> units while they are wholly within 12" of this unit.<br><br>Subtract 1 from the Attacks characteristic of melee weapons used by enemy units while they are in combat with this unit.|Puffshroom spore-clouds send the followers of the Bad Moon into a violent frenzy while choking and blinding enemies caught within them.|Special|false|Passive||Start of Turn|||
000000043|1|Herding Squigs|<b>Effect:</b> Roll a dice for each <b>Squig Herder</b> in this unit. For each 2+, you can return D3 slain <b>Cave Squigs</b> to this unit. For each 1, 1 <b>Squig Herder</b> in this unit is slain.|While they have a thankless and frankly dangerous job, Squig Herders do their best to keep their frenzied squigs together as a rough pack.|Rallying|false|Your Hero Phase||Hero Phase|||
000000043|2|Squigs Gone Wild|<b>Effect:</b> Each time a model in this unit is slain by a combat attack and that model was in combat with the attacking unit, roll a dice. On a 5+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the attacking unit after the <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> has been resolved.|Squigs don’t always know when they’re dead…|Offensive|false|Passive||Combat Phase|||
000000043|3|Beast|<b>Effect:</b> This unit has a maximum <a href="/aos4/the-rules/the-core-rules/#Objective-Control">control score</a> of 1.||Control|false|Passive||End of Turn|||
000000044|1|Boing! Boing! Boing!|<b>Declare:</b> Pick an enemy unit that this unit passed across this phase to be the target.<br><br><b>Effect:</b> Roll a dice for each model in this unit that passed across the target. For each 4+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.|Squig Hoppers can cause considerable damage simply by bouncing on top of their foes as they make their way across the battlefield.|Offensive|false|Any Movement Phase||Movement Phase|||
