warscroll_id|line|name|Rng|Atk|Hit|Wnd|Rnd|Dmg|type|abilities|has_battle_damage|
000000027|3|Monstrous Spider Fangs||4|3+|2+|1|3|MELEE|Crit (Mortal), Companion|false|
000000027|4|Chitinous Legs||8|4+|2+|1|1|MELEE|Companion|true|
000000028|1|Bashin’ Stikks||4|4+|5+|-|1|MELEE||false|
000000028|2|Huge Fang-filled Gobs||4|4+|2+|1|D6|MELEE|Companion|true|
000000028|3|Balls and Chains||4|4+|4+|-|D3|MELEE|Companion|false|
000000029|1|Monstrous Spider Fangs||4|3+|2+|1|3|MELEE|Crit (Mortal), Companion|false|
000000029|2|Chitinous Legs||8|4+|2+|1|1|MELEE|Companion|false|
000000035|1|Pokin’ Lance||3|4+|4+|1|1|MELEE|Charge (+1 Damage)|false|
000000035|2|Fang-filled Gob||3|4+|3+|1|1|MELEE|Companion|false|
000000037|1|Noxious Vomit|6"|D3|2+|3+|2|1|RANGED|Shoot in Combat|false|
000000037|2|Spiked Club||4|4+|3+|1|2|MELEE||false|
000000038|1|Ball and Chain||D6|4+|3+|2|D3|MELEE||false|
000000039|1|Throwin’ Boulders|10"|1|5+|2+|2|D3|RANGED||false|
000000039|2|Stone Maul or Craggy Hands||2|4+|2+|2|3|MELEE||false|
000000040|1|Loonfungus Sickle||3|4+|4+|-|1|MELEE||false|
000000040|2|Snufflesquig’s Gnashers||2|4+|4+|-|1|MELEE|Companion|false|
000000041|1|Spider-bow|18"|2|4+|5+|-|1|RANGED||false|
000000041|2|Crooked Spear||2|4+|5+|-|1|MELEE||false|
000000041|3|Spider Fangs||2|4+|4+|-|1|MELEE|Crit (Mortal), Companion|false|
000000042|1|Spore-ball and Chain||D3|3+|4+|1|D3|MELEE||false|
000000043|1|Fang-filled Gob||3|4+|3+|1|1|MELEE|Companion|false|
000000043|2|Squig Prodder||2|5+|5+|-|1|MELEE||false|
000000044|1|Slitta||2|4+|5+|-|1|MELEE||false|
000000044|2|Fang-filled Gob||3|4+|3+|1|1|MELEE|Companion|false|
000000046|1|Staff, Stikka or Jaggedy Blade||1|4+|4+|1|D3|MELEE||false|
000000055|1|Lunarock Slam||1|4+|3+|-|D3|MELEE||false|
000000057|1|Spider Legs||2|4+|3+|-|2|MELEE||false|
000000058|1|Spider Bites||8|4+|4+|-|1|MELEE|Crit (Mortal)|false|
000000060|1|Celestar Stormbolts|18"|D6+6|4+|2+|1|1|RANGED|Crit (2 Hits), Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000060|2|Sacristan Engineers’ Blades||2|3+|3+|1|1|MELEE||false|
000000061|1|Warhammer||2|3+|3+|1|1|MELEE|Crit (Mortal)|false|
000000061|2|Grandhammer||2|3+|3+|1|2|MELEE|Crit (Mortal)|false|
000000062|1|Kazra’s Monstrous Claws||3|3+|3+|1|2|MELEE|Companion|false|
000000062|2|Astreia’s Aetherstave||4|3+|3+|1|2|MELEE|Crit (Mortal)|false|
000000063|1|Staff of Hammerhal||4|3+|3+|2|2|MELEE||false|
000000063|2|Loithar’s Stamping Hooves||3|4+|3+|1|D3|MELEE|Companion|false|
000000064|1|Cometstrike Sceptre|18"|1|2+|*|*|*|RANGED||false|
000000064|2|Ghal Maraz||6|3+|2+|2|4|MELEE|Crit (Mortal)|false|
000000065|1|Starbound Blade||5|3+|3+|1|2|MELEE|Crit (Mortal)|false|
000000066|1|Star-blessed Weapons||5|3+|3+|1|2|MELEE||false|
000000067|1|Sigmarite Broadsword||3|3+|3+|1|2|MELEE||false|
000000068|1|Incantor’s Staff||3|3+|3+|1|2|MELEE||false|
000000069|1|Questor Warblade||5|3+|3+|1|2|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Crit (Mortal)|false|
000000070|1|Realmhunter’s Bow|24"|6|3+|3+|1|1|RANGED|Crit (2 Hits), Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000070|2|Star-eagle’s Celestial Talons||2|4+|3+|-|1|MELEE|Companion|false|
000000070|3|Bowstave||3|3+|3+|-|1|MELEE||false|
000000071|1|Sigmarite Warblade||4|3+|3+|1|2|MELEE||false|
000000072|1|Stormshot Pistol|12"|3|3+|3+|-|1|RANGED|Anti-<span class="kwb">HERO</span> (+1 Rend)|false|
000000072|2|Tempest Axes||6|3+|3+|1|1|MELEE|Crit (2 Hits), Anti-<span class="kwb">HERO</span> (+1 Rend)|false|
000000073|1|Heavy Boltstorm Pistol|12"|4|3+|3+|1|1|RANGED|Shoot in Combat|false|
000000073|2|Starbound Blade and Shock Handaxe||5|3+|3+|1|2|MELEE||false|
000000073|3|Gryph-charger’s Razor Beak||3|4+|3+|1|1|MELEE|Companion|false|
000000074|1|Aetherstave||4|3+|3+|1|2|MELEE||false|
000000075|1|Aetherstave||4|3+|3+|1|2|MELEE||false|
000000075|2|Tauralon’s Hooves||3|4+|3+|1|D3|MELEE|Companion|false|
000000076|1|Aetherstave||4|3+|3+|1|2|MELEE||false|
000000076|2|Celestial Dracoline’s Claws||3|3+|3+|1|2|MELEE|Companion|false|
000000077|1|Gryph-charger’s Razor Beak||3|4+|3+|1|1|MELEE|Companion|false|
000000077|2|Aetherstave||4|3+|3+|1|2|MELEE||false|
000000078|1|Gryph-hound’s Beak||4|4+|4+|-|1|MELEE|Companion|false|
000000078|2|Castellant’s Halberd||3|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000079|1|Weapons of Legend||5|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000080|1|Stormblast|10"|1|3+|3+|2|D3|RANGED|Crit (2 Hits), Companion|false|
000000080|2|Weapons of Legend||5|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000080|3|Dracoth’s Claws and Fangs||3|4+|2+|2|2|MELEE|Companion|false|
000000081|1|Redemption Stave||3|3+|3+|1|2|MELEE||false|
000000082|1|Astral Weapons||3|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000083|1|Relic Hammer||4|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000084|1|Staff of Abjuration||1|3+|3+|1|3|MELEE||false|
000000084|2|Judgement Blade||3|3+|3+|1|D3|MELEE|Anti-<span class="kwb">PRIEST</span> (+1 Rend), Anti-<span class="kwb">WIZARD</span> (+1 Rend)|false|
000000085|1|Relic Boltstorm Pistol|10"|3|3+|3+|1|1|RANGED|Shoot in Combat|false|
000000085|2|Whirlwind Axes||7|2+|3+|2|2|MELEE|Crit (2 Hits)|false|
000000086|1|Stormblast|10"|1|3+|3+|2|D3|RANGED|Crit (2 Hits), Companion|false|
000000086|2|Heldensen||6|3+|2+|1|2|MELEE|Crit (Auto-wound)|false|
000000086|3|Calanax’s Claws and Fangs||4|4+|2+|2|2|MELEE|Companion|false|
000000087|1|Rain of Stars|24"|4|3+|2+|2|2|RANGED|Companion|false|
000000087|2|Skybolt Bow|18"|2|3+|3+|1|1|RANGED|Crit (Auto-wound)|false|
000000087|3|Stardrake’s Cavernous Jaws||7|4+|2+|2|3|MELEE|Companion|true|
000000087|4|Templar Weapons||5|3+|3+|1|2|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000088|1|Rain of Stars|24"|4|3+|2+|2|2|RANGED|Companion|false|
000000088|2|Weapons of Legend||5|3+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000088|3|Stardrake’s Cavernous Jaws||7|4+|2+|2|3|MELEE|Companion|true|
000000111|1|Storm of Vengeance||12|4+|4+|1|1|MELEE|Crit (Auto-wound)|false|
000000114|1|Beak and Claws||2|4+|4+|-|1|MELEE|Companion|false|
000000115|1|Thunderhead Greatbow|15"|3|3+|3+|1|1|RANGED|Crit (2 Hits), Anti-Cavalry (+1 Rend)|false|
000000115|2|Greatbow Stock||1|3+|3+|-|1|MELEE||false|
000000117|1|Decimator Thunderaxe||4|3+|3+|1|1|MELEE|Crit (2 Hits)|false|
000000117|2|Starsoul Mace||1|3+|3+|2|3|MELEE|Crit (Mortal)|false|
000000119|1|Evocator Weapons||3|3+|3+|1|1|MELEE|Crit (Mortal)|false|
000000120|1|Celestial Dracoline’s Claws||3|3+|3+|1|2|MELEE|Companion|false|
000000120|2|Evocator Weapons||3|3+|3+|1|1|MELEE|Crit (Mortal)|false|
000000121|1|Boltstorm Pistol|10"|2|4+|4+|1|1|RANGED|Shoot in Combat|false|
000000121|2|Stormwrought Weapon||2|3+|3+|1|1|MELEE||false|
000000123|1|Vicious Beak and Claws||4|4+|4+|-|1|MELEE|Companion|false|
000000124|1|Shockbolt Bow|18"|D3+3|3+|3+|1|1|RANGED|Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000124|2|Skybolt Bow|18"|2|3+|3+|1|1|RANGED|Crit (Auto-wound)|false|
000000124|3|Storm Gladius||1|3+|3+|1|1|MELEE||false|
000000126|1|Starsoul Mace||1|3+|3+|2|3|MELEE|Crit (Mortal)|false|
000000126|2|Protector Stormstrike Glaive||4|3+|3+|1|1|MELEE||false|
000000127|1|Retributor Lightning Hammer||2|3+|3+|1|2|MELEE|Crit (Mortal)|false|
000000127|2|Starsoul Mace||1|3+|3+|2|3|MELEE|Crit (Mortal)|false|
000000128|1|Sacrosanct Weapons||2|3+|3+|1|1|MELEE|Crit (2 Hits)|false|
000000128|2|Stormsmite Greatmace||2|3+|3+|1|2|MELEE|Crit (2 Hits)|false|
000000129|1|Heavens-wrought Weapon||3|3+|3+|1|1|MELEE|Crit (Mortal)|false|
000000131|1|Boltstorm Pistol|10"|2|4+|4+|1|1|RANGED|Shoot in Combat|false|
000000131|2|Stormwrought Weapon||2|3+|3+|1|1|MELEE||false|
000000133|1|Hurricane Crossbow|12"|4|3+|3+|-|1|RANGED|Crit (2 Hits), Anti-<span class="kwb">INFANTRY</span> (+1 Rend)|false|
000000133|2|Heavy Stock||1|4+|3+|-|1|MELEE||false|
000000134|1|Longstrike Crossbow|18"|2|3+|3+|2|2|RANGED|Anti-<span class="kwb">HERO</span> (+1 Rend), Crit (Auto-wound)|false|
000000134|2|Heavy Stock||1|4+|3+|-|1|MELEE||false|
000000135|1|Burning Skulls|15"|4|4+|3+|1|2|RANGED|Shoot in Combat|false|
000000135|2|Gnashing Maw||1|4+|3+|1|D3|MELEE|Blood-hungry, Companion|false|
000000135|3|Hellblades||4|3+|3+|1|1|MELEE|Blood-hungry, Crit (Mortal)|false|
000000136|1|Hellblade||2|3+|3+|1|1|MELEE|Blood-hungry, Crit (Mortal)|false|
000000137|1|Reaver Blades and Axes||2|4+|3+|-|1|MELEE|Blood-hungry|false|
000000138|1|Goreweapons||3|4+|3+|1|1|MELEE|Blood-hungry, Crit (Auto-wound)|false|
000000140|1|Blade of Blood||5|3+|3+|2|2|MELEE|Blood-hungry, Crit (2 Hits)|false|
000000141|1|Ensorcelled Axe||4|3+|3+|1|2|MELEE|Blood-hungry|false|
000000142|1|Torture Blade and Blood Whip||4|3+|4+|1|2|MELEE|Blood-hungry|false|
000000144|1|Blade of Blood and Hellblades||7|3+|3+|1|2|MELEE|Blood-hungry, Crit (Mortal)|false|
000000146|1|Wrathforged Axe||6|3+|3+|1|2|MELEE|Blood-hungry|false|
000000146|2|Juggernaut’s Brazen Hooves||2|4+|3+|1|D3|MELEE|Companion|false|
000000147|1|Flesh Hound’s Blood‑dark Claws||4|4+|3+|-|1|MELEE|Companion|false|
000000147|2|Axe of Khorne||5|3+|3+|2|2|MELEE|Blood-hungry|false|
000000148|1|Brutal Fists||8|4+|2+|-|2|MELEE|Blood-hungry, Crit (2 Hits)|false|
000000149|1|The Bloodstorm Blades||6|3+|3+|1|2|MELEE|Blood-hungry, Crit (2 Hits)|false|
000000150|1|Brazen Anvil||4|4+|2+|1|3|MELEE|Anti-<span class="kwb">MONSTER</span> (+1 Rend), Blood-hungry|false|
000000151|1|Blade of Blood||5|3+|3+|2|2|MELEE|Blood-hungry, Crit (Mortal)|false|
000000151|2|Juggernaut’s Brazen Hooves||2|4+|3+|1|D3|MELEE|Anti-<span class="kwb">CAVALRY</span> (+1 Rend), Companion|false|
000000152|1|The Slayer Sword||6|2+|3+|2|2|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Blood-hungry|false|
000000153|1|Bloodbathed Weapon||4|3+|3+|1|2|MELEE|Blood-hungry|false|
000000154|1|Slaupnir||5|3+|3+|2|2|MELEE|Blood-hungry, Charge (+1 Damage)|false|
000000155|1|Great Axe of Khorne||5|3+|2+|2|5|MELEE|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Blood-hungry|true|
000000156|1|Lash of Khorne|8"|4|3+|3+|1|D3|RANGED|Shoot in Combat|false|
000000156|2|Mighty Axe of Khorne||6|3+|2+|2|4|MELEE|Anti-<span class="kwb">MONSTER</span> (+1 Rend), Blood-hungry|true|
000000157|1|Slaughter||4|3+|2+|2|4|MELEE|Blood-hungry|false|
000000157|2|Carnage||2|3+|2+|2|8|MELEE|Crit (Mortal)|false|
000000158|1|Hellfire Breath|8"|2D6|2+|3+|1|1|RANGED|Shoot in Combat|false|
000000158|2|Mighty Axe of Khorne and Bloodflail||6|3+|2+|2|4|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Blood-hungry|true|
000000179|1|Stream of Molten Blood||2|4+|3+|-|D3|MELEE||false|
000000180|1|Wrath-axe||4|4+|2+|2|D3|MELEE||false|
000000182|1|Savage Maws and Goreslick Claws||6|4+|3+|1|2|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Blood-hungry|false|
000000183|1|Juggernaut’s Brazen Hooves||2|4+|3+|1|D3|MELEE|Anti-<span class="kwb">CAVALRY</span> (+1 Rend), Companion|false|
000000183|2|Bloodcrusher Hellblade||3|3+|3+|1|1|MELEE|Blood-hungry, Crit (Mortal)|false|
000000184|1|Blood-dark Claws||4|4+|3+|-|1|MELEE|Blood-hungry, Companion|false|
000000185|1|Claws and Fangs||5|4+|2+|1|2|MELEE|Companion|false|
000000186|1|Gorebathed Glaive or Axe||3|3+|3+|1|1|MELEE|Blood-hungry, Charge (+1 Damage)|false|
000000186|2|Juggernaut’s Brazen Hooves||2|4+|3+|1|D3|MELEE|Companion|false|
000000187|1|Daemonforged Weapons||4|4+|3+|1|2|MELEE|Blood-hungry, Crit (2 Hits)|false|
000000188|1|Wrath-flails||4|4+|3+|1|1|MELEE|Blood-hungry, Crit (2 Hits)|false|
000000189|1|Reaver Blades and Axes||2|4+|3+|-|1|MELEE|Blood-hungry|false|
000000191|1|Goreaxe||3|4+|3+|1|1|MELEE|Blood-hungry|false|
000000191|2|Blood-dark Claws||4|4+|3+|-|1|MELEE|Blood-hungry, Anti-<span class="kwb">WIZARD</span> (+1 Rend), Companion|false|
000000192|1|Malignant Weapon||2|4+|5+|-|1|MELEE|Crit (Auto-wound)|false|
000000193|1|Cairnoch Scythe||5|4+|3+|2|2|MELEE|Crit (Auto-wound)|false|
000000196|1|Sword of Stolen Hours||5|4+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000197|1|Sword of Stolen Hours||5|4+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000197|2|Ethereal Steed’s Ghostly Hooves and Teeth||3|5+|3+|-|1|MELEE|Companion, Crit (Auto-wound)|false|
000000198|1|Sepulchral Sceptre||5|3+|3+|2|3|MELEE|Crit (Auto-wound)|false|
000000199|1|Horrifying Visage|12"|1|2+|2+|3|D6|RANGED|Crit (Auto-wound), Shoot in Combat|false|
000000199|2|Staff of Midnight||6|4+|3+|1|D3|MELEE|Crit (Auto-wound)|false|
000000200|1|Decapitating Greataxe||5|3+|3+|2|2|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Crit (Auto-wound)|false|
000000201|1|Fellreaper||5|3+|3+|2|2|MELEE|Charge (+1 Damage), Crit (Auto-wound)|false|
000000201|2|Kyllaron’s Ghostly Hooves and Teeth||3|5+|3+|-|1|MELEE|Companion, Crit (Auto-wound)|false|
000000202|1|Shacklegheist Chains||5|4+|3+|1|2|MELEE|Crit (Auto-wound)|false|
000000203|1|Piercing Scream|10"|2|4+|3+|2|D3|RANGED|Shoot in Combat|false|
000000203|2|Ancient Chill Dagger||3|4+|3+|2|D3|MELEE|Crit (Auto-wound)|false|
000000204|1|Soulreach Grasp|10"|2|4+|3+|2|2|RANGED|Crit (Auto-wound), Shoot in Combat|false|
000000204|2|Relic Bearers’ Claws and Ethereal Steeds’ Hooves||14|4+|4+|-|1|MELEE|Crit (Auto-wound), Companion|false|
000000204|3|Wraith’s Spectral Weapons||5|3+|3+|1|2|MELEE|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Crit (Auto-wound)|false|
000000205|1|Tomb Greatblade||2|3+|3+|1|1|MELEE|Crit (Auto-wound)|false|
000000206|1|Ghastflails|12"|2|4+|3+|2|1|RANGED|Crit (Auto-wound)|false|
000000206|2|Ghastflails||2|4+|3+|2|1|MELEE|Crit (Auto-wound)|false|
000000207|1|Scythed Limbs||3|4+|4+|1|1|MELEE|Crit (Auto-wound)|false|
000000208|1|Hunter’s Glaive||2|4+|3+|2|1|MELEE|Charge (+1 Damage), Crit (Auto-wound)|false|
000000209|1|Slasher Scythe||2|4+|3+|1|1|MELEE|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Crit (Auto-wound)|false|
000000210|1|Ethereal Steed’s Ghostly Hooves and Teeth||2|5+|3+|-|1|MELEE|Crit (Auto-wound), Companion|false|
000000210|2|Spectral Scythe||2|4+|4+|1|1|MELEE|Charge (+1 Damage), Crit (Auto-wound)|false|
000000211|1|Chill Dagger||2|4+|3+|1|D3|MELEE|Anti-<span class="kwb">WIZARD</span> (+1 Rend), Crit (Auto-wound)|false|
000000212|1|Spectral Claws and Daggers||6|4+|4+|-|1|MELEE|Crit (Auto-wound)|false|
000000222|1|Almighty Reap||1|3+|2+|2|4|MELEE|Crit (Auto-wound)|false|
000000226|1|Latchkey Grandaxe||4|3+|3+|2|3|MELEE||false|
000000227|1|Brazier Staff||3|3+|3+|1|2|MELEE||false|
000000228|1|Latch-axe||4|3+|3+|1|2|MELEE||false|
000000229|1|Ancestral Weapons||5|3+|3+|1|2|MELEE|Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000230|1|Ancestral Battle-axe||5|3+|3+|1|2|MELEE||false|
000000232|1|Fyresteel Weapons||2|4+|3+|1|1|MELEE||false|
000000232|2|Latchkey Grandaxe||4|3+|3+|2|3|MELEE||false|
000000233|1|Roaring Fyrestream|10"|4|3+|3+|1|D3|RANGED|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Companion|false|
000000233|2|Latchkey Grandaxe||4|3+|3+|2|3|MELEE||false|
000000233|3|Magmadroth’s Claws and Horns||6|4+|2+|1|2|MELEE|Companion|true|
000000233|4|Magmadroth’s Blazing Maw||2|4+|2+|2|3|MELEE|Companion|false|
000000234|1|Roaring Fyrestream|10"|4|3+|3+|1|D3|RANGED|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Companion|false|
000000234|2|Latch-axe||4|3+|3+|1|2|MELEE||false|
000000234|3|Magmadroth’s Blazing Maw||2|4+|2+|2|3|MELEE|Companion|false|
000000234|4|Magmadroth’s Claws and Horns||6|4+|2+|1|2|MELEE|Companion|true|
000000235|1|Roaring Fyrestream|10"|4|3+|3+|1|D3|RANGED|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Companion|false|
000000235|2|Magmadroth’s Blazing Maw||2|4+|2+|2|3|MELEE|Companion|false|
000000235|3|Magmadroth’s Claws and Horns||6|4+|2+|1|2|MELEE|Companion|true|
000000235|4|Ancestral Weapons||5|3+|3+|1|2|MELEE|Anti-<span class="kwb">MONSTER</span> (+1 Rend)|false|
000000236|1|Magmapike|12"|2|4+|3+|1|D3|RANGED|Shoot in Combat|false|
000000236|2|Magmapike||1|3+|3+|1|1|MELEE||false|
000000237|1|Doomseeker Weapons||5|3+|3+|1|2|MELEE||false|
000000238|1|Fyrestorm Greataxe||5|3+|3+|2|2|MELEE||false|
000000244|1|Magma Blast|18"|8|4+|3+|1|1|RANGED|Crit (2 Hits)|false|
000000246|1|Raging Torrents of Lava|8"|2|4+|3+|2|D3|RANGED|Shoot in Combat|false|
000000246|2|Molten Claws||6|4+|2+|1|D3|MELEE|Crit (Mortal)|false|
000000248|1|Plagueclaw Catapult|24"|2|3+|2+|1|D6|RANGED|Anti-<span class="kwb">INFANTRY</span> (+1 Rend)|false|
000000248|2|Crew’s Teeth and Knives||D6|4+|5+|-|1|MELEE||false|
000000249|1|Warp Lightning Blast|20"|2D6|4+|#3|||RANGED||false|
000000249|2|Crew’s Teeth and Knives||D6|4+|5+|-|1|MELEE||false|
000000250|1|Warplock Jezzail|18"|2|4+|3+|2|2|RANGED|Crit (Auto-wound)|false|
000000250|2|Rusty Knives||2|4+|5+|-|1|MELEE||false|
000000251|1|Rusty Weapon||2|4+|5+|-|1|MELEE|Crit (Auto-wound)|false|
000000252|1|Warp Bolts|13"|D6|3+|3+|1|D3|RANGED|Shoot in Combat|false|
000000252|2|Grinding Wheels||6|4+|3+|-|1|MELEE|Charge (+1 Damage)|false|
000000253|1|Gnashing Teeth and Flailing Fists||13|4+|2+|2|2|MELEE|Anti-<span class="kwb">INFANTRY</span> (+1 Rend), Companion|true|
000000254|1|Warpfire Gauntlet|10"|3|4+|2+|2|1|RANGED|Shoot in Combat|false|
000000254|2|Stormcage Halberd||3|3+|4+|1|2|MELEE||false|
000000254|3|Crushing Piston-claw||2|4+|2+|2|2|MELEE||false|
000000255|1|Warpforged Blade||6|3+|4+|1|2|MELEE||false|
000000256|1|Eshin Throwing Stars|10"|5|3+|4+|-|D3|RANGED|Crit (Auto-wound), Shoot in Combat|false|
000000256|2|Weeping Blade||5|3+|4+|1|D3|MELEE|Anti-<span class="kwb">HERO</span> (+1 Rend), Crit (Mortal)|false|
000000257|1|Warpstone Staff||3|4+|4+|1|D3|MELEE||false|
000000258|1|Warpsyringe Pistol|10"|D6|4+|2+|2|1|RANGED|Shoot in Combat|false|
000000258|2|Arsenal of Mutation||4|3+|4+|1|1|MELEE|Crit (2 Hits)|false|
000000259|1|Warpstone-tipped Staff||3|4+|4+|1|D3|MELEE|Crit (Auto-wound)|false|
000000261|1|Wicked Halberd||6|3+|4+|1|2|MELEE||false|
000000261|2|Rusty Weapon||2|4+|5+|-|1|MELEE|Crit (Auto-wound)|false|
000000262|1|Firing Pole||3|4+|4+|-|1|MELEE||false|
000000262|2|Doomrocket|18"|2|4+|3+|1|D6|RANGED|Anti-<span class="kwb">INFANTRY</span> (+1 Rend)|false|
000000263|1|Warplock Musket|24"|2|3+|3+|2|D3|RANGED|Crit (Auto-wound)|false|
000000263|2|Warpforged Dagger||3|4+|4+|-|2|MELEE||false|
000000264|1|Warpstone Staff||3|4+|4+|1|D3|MELEE||false|
000000264|2|Rat Ogor’s Tearing Claws||5|4+|3+|1|2|MELEE|Companion|false|
000000264|3|Crushing Bulk||6|4+|2+|1|2|MELEE|Companion|true|
000000265|1|Glaive of the Rat King||7|3+|2+|2|3|MELEE|Crit (2 Hits)|false|
000000266|1|Great Plague Censer||4|4+|2+|1|3|MELEE|Crit (Auto-wound)|true|
000000266|2|Warpstone-tipped Staff||3|4+|4+|1|D3|MELEE|Crit (Auto-wound)|false|
000000266|3|Foetid Blades||6|4+|5+|-|1|MELEE|Crit (Auto-wound)|false|
000000266|4|Crushing Bulk||6|4+|2+|1|2|MELEE|Companion|false|
000000267|1|Staff of the Horned Rat||4|4+|4+|1|D3|MELEE||false|
000000267|2|Warpfire Braziers||6|4+|2+|2|3|MELEE|Companion|true|
000000267|3|Custom Warpfire Projectors|10"|6|2+|3+|2|1|RANGED|Companion|false|
000000268|1|Plaguereapers||8|3+|2+|2|2|MELEE|Crit (Auto-wound)|false|
000000269|1|Doomstar|13"|6|3+|3+|1|2|RANGED|Crit (Auto-wound)|false|
000000269|2|Warpstiletto||8|3+|2+|3|2|MELEE|Crit (Mortal)|false|
000000270|1|Doom Glaive and Spike-fist||7|3+|2+|2|3|MELEE|Crit (Mortal)|false|
000000271|1|Doom Glaive||6|4+|2+|2|3|MELEE||false|
000000274|1|Poisoned Stars|10"|3|4+|4+|-|1|RANGED|Crit (Auto-wound)|false|
000000274|2|Punch Dagger and Blade||3|3+|5+|1|1|MELEE|Crit (Mortal)|false|
000000275|1|Slings and Poisoned Stars|10"|2|4+|4+|-|1|RANGED|Crit (Auto-wound), Shoot in Combat|false|
000000275|2|Poisoned Blades||2|4+|5+|-|1|MELEE|Crit (Mortal)|false|
