id|name|faction_id|source_id|legend|regiment_options|notes|description|role|virtual|no_reinforced|link|Move|Save|Control|Health|Ward|UnitSize|Cost|
000000614|Great Bray-Shaman|BoC||The Great Bray-Shamans are the soothsayers and mystics of the beastherds. What they lack in raw strength, they make up for with a mastery of Chaos magic that can reduce a foe to a writhing mass of corrupted flesh.|0-1 %000013865Herd Alpha%, 0-1 %000010815Beast%, Any %000002677Brayherd%|This unit will move to Warhammer Legends on 1 June 2025.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Great-Bray-Shaman|6"|5+|2|5||1|140|
000000616|Bestigors|BoC||Bestigors are the strongest and fiercest of the gorkin. Clad in stolen armour and wielding two-handed axes, they charge into the thick of the fighting, ramming enemies to the ground with their horns before delivering a brutal killing blow.|Brayherd, Infantry|This unit will move to Warhammer Legends on 1 June 2025.||Infantry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Bestigors|6"|4+|1|2||10|220|
000000617|Bullgors|BoC||Bullgors are hulking, taurine monstrosities consumed by the need to stuff their mouths with raw flesh and blood. They are the shock troops of the greatfrays, capable of smashing their way through almost any shieldwall or line of pikes.|Infantry|This unit will move to Warhammer Legends on 1 June 2025.||Infantry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Bullgors|6"|5+|1|4||3|170|
000000618|Centigors|BoC||Drunken barbarians who love nothing more than a bloody brawl, the half-equine warriors known as Centigors charge across the battlefield in search of enemies to stomp, smash and brutalise.|Brayherd, Cavalry|This unit will move to Warhammer Legends on 1 June 2025.||Cavalry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Centigors|10"|5+|1|2||5|170|
000000619|Beasts of Chaos Chaos Spawn|BoC||Utterly devolved in both body and mind by the corrupting power of pure anarchy, the hideous creatures known as Chaos Spawn lurch into battle, lashing out with whip-like tendrils and scything talons in a maddened frenzy.|Beast|This unit will move to Warhammer Legends on 1 June 2025.||Beast|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Beasts-of-Chaos-Chaos-Spawn|2D6"|5+|1|5||1|70|
000000620|Chaos Warhounds|BoC||Lean, vicious and hideously mutated, Chaos Warhounds are products of the hellish environments in which they dwell. They are tireless pursuers that will chase their prey for hours before ripping them to bloody shreds.|Beast|This unit will move to Warhammer Legends on 1 June 2025.||Beast|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Chaos-Warhounds|10"|6+|1|2||10|130|
000000621|Cockatrice|BoC||A Cockatrice is a fell creature that dwells in the harshest wastelands of the Mortal Realms. Its cursed gaze can transform a foe into a screaming statue, while its raking talons and cruel beak shred flesh and muscle effortlessly.|Beast|This unit will move to Warhammer Legends on 1 June 2025.||Beast|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Cockatrice|12"|5+|1|8||1|150|
000000622|Dragon Ogors|BoC||Imposing creatures with muscular, humanoid torsos and the lower bodies of draconids, Dragon Ogors are formidable warriors. They overrun their foes with a headlong charge, lashing out with crackling storm-weapons and obliterating their enemies in a tempestuous rage.|Cavalry|This unit will move to Warhammer Legends on 1 June 2025.||Cavalry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Dragon-Ogors|8"|4+|2|5||3|200|
000000624|Tuskgor Chariots|BoC||Tuskgor Chariots are crude but fearsomely powerful war machines. Though they appear ramshackle in construction, the snorting, porcine brutes that haul them into battle are capable of wreaking terrible damage as they smash into the foe.|Brayherd, War Machine|This unit will move to Warhammer Legends on 1 June 2025.||War Machine|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Tuskgor-Chariots|10"|4+|2|7||1|110|
000000629|Ungor Raiders|BoC||Many Ungors prefer to fight with shortbows, for this allows them to keep their foes at a safe distance. Skulking about on the edges of the battlefield, they riddle their quarry with hails of arrows before fading away into the wilds in search of new victims.|Brayherd, Infantry|This unit will move to Warhammer Legends on 1 June 2025.||Infantry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Ungor-Raiders|6"|6+|1|1||10|90|
000000638|Doomblast Dirgehorn|BoC||Wrought from coalesced Chaos energies, the Doomblast Dirgehorn emits an unending, dolorous blast that drowns out all thought. The howling cacophony strips those in earshot of their sanity and reduces skilled warriors to fumbling fools.||||Endless Spell|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Doomblast-Dirgehorn|-|6+|7|7|6+|1||
000000639|Ravening Direflock|BoC||The spectral crows of a Ravening Direflock are harbingers of doom, filling the minds of those who hear their piercing caws with an inescapable sense of dread. They circle over the battlefield, harrying those who try to flee the carnage.||||Endless Spell|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Ravening-Direflock|16"|6+|7|6|6+|3||
000000640|Wildfire Taurus|BoC||Wildfire Tauruses are summoned from the fires of the largest herdstones. They take the shape of gargantuan flaming bulls, stampeding through massed ranks of armoured warriors, setting flesh ablaze and flattening those not consumed in the conflagration.||||Endless Spell|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Wildfire-Taurus|12"|6+|8|10|6+|1||
000000641|Herdstone|BoC||Herdstones are the sites at which the Beasts of Chaos carry out their savage rituals. Wrought from the Chaos-infused substance of the realms, from them spills the corruptive taint of the anarchic wilds to bleed freely into the land.|||The following universal terrain abilities apply to this terrain feature (Terrain, 1.2):<br><br>Cover, Unstable|Faction Terrain|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Herdstone|-|4+|0|14||1|0|
000000853|Grashrak’s Despoilers|BoC|000000138|A prophet of ruin and the leader of the Despoilers, an infamous pack of cruel-hearted raiders, the Great Bray-Shaman known as Grashrak Fellhoof wields the savage power of Chaos to lay waste to his enemies. Grashrak’s Despoilers are a motley collection of gor- kin, hand-picked by the Bray-Shaman for their cruel cunning. They fear Fellhoof more than any foe and will sacrifice life and limb to protect their master.||This unit cannot be reinforced.|<i>Each model in this unit is armed with Despoiler Weapons. The models in this unit are:<br><ul><li>Grashrak Fellhoof (champion)</li><li>Draknar</li><li>Murghoth Half-horn</li><li>Korsh ‘the Sneak’</li><li>Ushkor (also armed with a Despoiler Shortbow)</li><li>Gnarl (also armed with a Despoiler Shortbow)</li></ul></i>|Infantry|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Grashrak-s-Despoilers-1|8"|6+|1|2||6|100|
000001584|Hargax’s Pit-Beasts|BoC|000000108|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Hargax-s-Pit-Beasts||||||||
000001761|Razorgor|BoC||Razorgors are mountains of twisted flesh and wiry hair possessed of a vicious fury and a bottomless appetite. They gobble their prey down in a few gulping bites, consuming flesh, metal, wood and stone alike.|Beast|This unit will move to Warhammer Legends on 1 June 2025.||Beast|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Razorgor|10"|5+|1|4||1|70|
000001978|One-eyed Grunnock|BoC|000000038|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/One-eyed-Grunnock||||||||
000002154|Stumblefoot Gargant|BoC|000000143|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Stumblefoot-Gargant||||||||
000002265|Snerk’s Trogg-Fer-Hire|BoC|000000143|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Snerk-s-Trogg-Fer-Hire||||||||
000002409|Exile Scavengers|BoC|000000028|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Exile-Scavengers||||||||
000002911|Phulgoth’s Shudderhood|BoC|000000045|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Phulgoth-s-Shudderhood||||||||
000002919|Nurgle’s Gift|BoC|000000143|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Nurgle-s-Gift||||||||
000002971|The Coven of Thryx|BoC|000000027|||||Regiment of Renown|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/The-Coven-of-Thryx||||||||
000000135|Skull Cannon|BoK||The hideous war machines known as Skull Cannons vomit forth barrages of skulls amidst blasts of sulphurous smoke and flame, their macabre ordnance screaming through the skies before exploding with murderous fury amongst the enemy ranks.||||War Machine|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skull-Cannon|8"|4+|2|8|6+|1|150|
000000136|Bloodletters|BoK||Beneath unholy icons and blood-soaked banners, letting loose roaring battle cries and terrifying blasts from brazen horns, the Bloodletters of Khorne surge forwards in a tide of corded muscle and hellforged swords to maim and slaughter their foes.||||Infantry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodletters|5"|5+|1|2|6+|10|150|
000000137|Bloodreavers|BoK||Descending on their foes in a howling tide, the barbarous hordes of the Bloodreavers sweep away the enemy in a brutal frenzy. Each is a frothing killer, their body thick with slabs of muscle and their heavy weapons able to decapitate and dismember with every swing.||||Infantry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodreavers|5"|6+|1|1||10|80|
000000138|Blood Warriors|BoK||Smashing their way through the maelstrom of battle, Blood Warriors roar incoherent curses as they hack and bludgeon their foes to ruin. Such is their dedication to Khorne that they continue to fight even after suffering wounds that would fell most warriors instantly.||||Infantry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Blood-Warriors|5"|3+|1|2||10|180|
000000140|Bloodmaster, Herald of Khorne|BoK||Each swing of the Bloodmaster’s blade opens throats and splits torsos, while truly worthy victims find their heads severed from their bodies. Around the Herald, the Bloodletters of Khorne fight all the harder, driven to a frenzy by his murderous aura.|0-1 %000012598Slaughter Seeker%, Any %000008070BLADES OF KHORNE DAEMON%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodmaster-Herald-of-Khorne|5"|4+|2|6|6+|1|120|
000000141|Bloodsecrator|BoK||Howling in rage, the Bloodsecrator hacks and smashes their way through the foe with their Icon of Khorne held high. This grim standard channels the wrathful energies of the Blood God’s domain to the battlefield, filling their followers with an infernal battle-lust that is terrifying to behold.|Any %000008071BLOODBOUND%|This <span class="kwb">HERO</span> can join an eligible regiment as a Bloodbound Warmonger.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodsecrator|5"|3+|5|6||1|120|
000000142|Bloodstoker|BoK||Every whip-crack of the Bloodstoker’s expertly plied lash builds the battle-frenzy of those around him, their screams of hatred and fury echoing across the battlefield as they pelt towards the foe with wrathful abandon.|Any %000008071BLOODBOUND%|This <span class="kwb">HERO</span> can join an eligible regiment as a Bloodbound Warmonger.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodstoker|5"|4+|2|5||1|100|
000000144|Herald of Khorne on Blood Throne|BoK||The Blood Throne roars into battle with its monstrous maw gaping wide, hungry for mortal flesh. Atop its dais, the Rendmaster bellows commands to his footsoldiers as it and its charioteers cut down any foes foolish enough to approach.|0-1 %000012598Slaughter Seeker%, Any %000008070BLADES OF KHORNE DAEMON%|||War Machine Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Herald-of-Khorne-on-Blood-Throne|8"|4+|2|10|6+|1|160|
000000146|Lord of Khorne on Juggernaut|BoK|000000172|Already a terrifying opponent in their own right, a Khornate lord astride a Juggernaut is an unstoppable force of destruction. Foes are crushed or hacked apart in seconds, while the sheer momentum of their ruinous steed draws their warriors howling in their wake.|Any %000008071BLOODBOUND%|<i>This unit will move to Warhammer Legends on 1 June 2026.</i>||Cavalry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Lord-of-Khorne-on-Juggernaut|10"|2+|2|8||1|200|
000000147|Mighty Lord of Khorne|BoK||Leaders of the Bloodbound warhordes, Mighty Lords of Khorne are supreme killers even amongst a society dedicated to slaughter. As they carve a gory path across the battlefield they send their warriors surging forth to claim more skulls in Khorne’s name.|Any %000012597Bloodbound Warmonger%, Any %000008071BLOODBOUND%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Mighty-Lord-of-Khorne|5"|3+|2|7||1|130|
000000148|Scyla Anfingrimm|BoK|000000138|Ferocity made flesh and blood, Scyla Anfingrimm is a terrifying foe who knows nothing of fear or mercy. His monstrous strength is such that he can tear a Dracoth in two, and sorcery can gain no purchase upon his form, for his collar radiates Khorne’s hatred.|Any %000008071BLOODBOUND%|||Beast Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Scyla-Anfingrimm|8"|5+|2|8||1|130|
000000149|Skarr Bloodwrath|BoK|000000172|In battle, Skarr Bloodwrath is a terrifying maelstrom of carnage. The Bloodstorm Blades whip around him like extensions of his furious will, and even should he fall, he rises again from the spilt blood of his victims, his axes held ready for vengeance.|Any %000008071BLOODBOUND%|<i>This unit will move to Warhammer Legends on 1 June 2026.</i>||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skarr-Bloodwrath|5"|4+|2|6||1|140|
000000150|Skullgrinder|BoK||Trailing sulphurous flame, the chained anvil of the Skullgrinder roars through the air like a dark mockery of Sigmar’s twin-tailed comet. The Khornate smith swings his mighty weapon in wide arcs, shattering armour, pulping flesh and smashing bone.|Any %000008071BLOODBOUND%|This <span class="kwb">HERO</span> can join an eligible regiment as a Bloodbound Warmonger.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skullgrinder|5"|3+|2|6||1|110|
000000151|Skullmaster, Herald of Khorne|BoK|000000172|The war cry of the Skullmaster rings out over the thunderous hoofbeats of its ironclad steed moments before it slams into the foe with titanic force. Armour buckles, flesh tears, bones shatter and blood falls like rain as the Herald exults in the carnage.|Any %000012599DAEMON CAVALRY%, Any %000012600WAR MACHINE%|<i>This unit will move to Warhammer Legends on 1 June 2026.</i>||Cavalry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skullmaster-Herald-of-Khorne|10"|4+|2|7|6+|1|130|
000000152|Skulltaker|BoK||Skulltaker is Khorne’s immortal champion and the greatest of all Bloodletters. Ever seeking worthy skulls for his master, he scans the battlefield for the enemy’s mightiest warrior, bellowing his challenge before moving in to end yet another storied life.|Any %000008070BLADES OF KHORNE DAEMON%|This <span class="kwb">HERO</span> can join an eligible regiment as a Slaughter Seeker.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skulltaker|5"|4+|2|7|5+|1|120|
000000153|Slaughterpriest|BoK||Towering, brutal demagogues, Slaughterpriests are living beacons of the Lord of Battle’s power. These foul priests direct their comrades according to visions sent by Khorne himself, boil their enemies’ blood in their veins and drive the foe mad with battle-lust.|Any %000008071BLOODBOUND%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Slaughterpriest|5"|5+|2|6||1|130|
000000154|Valkia The Bloody|BoK|000000138|To incur Valkia’s wrath is to invite death. She streaks down from the skies like a bolt of crimson lightning, driving her spear with such force that she impales multiple foes in a spectacularly gruesome fashion. With her comes the Blood God’s judgement, for wherever Valkia goes, the eye of Khorne follows.|Any %000008071BLOODBOUND%, 0-1 %000012597Bloodbound Warmonger%|||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Valkia-The-Bloody|12"|3+|2|6|6+|1|180|
000000155|Bloodthirster of Insensate Rage|BoK||A Bloodthirster of Insensate Rage is an avatar of supreme carnage upon the battlefield, charging forwards with horrific momentum to shatter entire formations with the force of its impact, before carving a ruinous path through the survivors.|0-1 %000012598Slaughter Seeker%, Any %000008070BLADES OF KHORNE DAEMON%|This <span class="kwb">HERO</span> can join an eligible regiment as a Baleful Lord.||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodthirster-of-Insensate-Rage|12"|4+|5|16|5+|1|410|
000000156|Bloodthirster of Unfettered Fury|BoK||As the Bloodthirster of Unfettered Fury stalks forwards, its whip lashing out to strip flesh from bone, the very earth bleeds beneath its smouldering hooves, causing gouts of molten rock to incinerate all who dare to oppose the unholy terror before them.|0-1 %000012598Slaughter Seeker%, Any %000008070BLADES OF KHORNE DAEMON%|This <span class="kwb">HERO</span> can join an eligible regiment as a Baleful Lord.||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodthirster-of-Unfettered-Fury|12"|4+|5|16|5+|1|390|
000000157|Skarbrand|BoK||A daemonic engine of destruction like no other, Skarbrand carves a red road of ruin across the battlefield. His bellowing roars cause the blood to boil in his enemies’ veins, and his twin axes create a rain of gore with every almighty swing.|0-1 %000012598Slaughter Seeker%, Any %000008070BLADES OF KHORNE DAEMON%|||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skarbrand|8"|4+|5|16|5+|1|410|
000000158|Wrath of Khorne Bloodthirster|BoK||Wrath of Khorne Bloodthirsters are the Lord of Battle’s agents of vengeance, sent to claim the skulls of those who have offended him. With hellforged weapons and breath of purest hellfire, they annihilate their quarry in shocking displays of infernal power.|0-1 %000012598Slaughter Seeker%, Any %000006190BLADES OF KHORNE%, 0-1 %000013866Baleful Lord%|||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Wrath-of-Khorne-Bloodthirster|12"|4+|5|16|5+|1|400|
000000178|Bleeding Icon|BoK||A common sight in the crimson skies above Khorne’s domain in the Realm of Chaos, a Bleeding Icon can be summoned to the Mortal Realms to skewer from on high those who have displeased the Lord of Battle.||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bleeding-Icon|-|5+|7|8|6+|1||
000000179|Hexgorger Skulls|BoK||Hexgorger Skulls are the physical manifestation of Khorne’s hatred of the arcane arts. They drift across the battlefield, seeking to feed upon eldritch energy and those conjurers who attempt to use it.||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Hexgorger-Skulls|8"|5+|7|6|6+|2||
000000180|Wrath-Axe|BoK||A Wrath-axe is a manifestation of Khorne’s otherworldly anger, its razor-sharp edges glowing red-hot from the Blood God’s rage. At signs of weakness or wizardry, such a blazing axe appears in the air, splitting reality with its downwards stroke.||||Manifestation|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Wrath-Axe|8"|5+|7|7|6+|1||
000000181|Skull Altar|BoK||Rising from the ground, the Skull Altar is formed out of the violent tributes heaped in offering for Khorne’s throne. From atop the grisly pedestal, a priest of Khorne roars out invectives, evoking the judgements of the Blood God to smite down all signs of weakness or wizardry.|||The following universal terrain abilities apply to this terrain feature (Terrain, 1.2):<br><br>Cover, Impassable|Faction Terrain|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skull-Altar|-|4+|0|10||1||
000000182|Karanak|BoK||Ever watchful, ever hungry, Karanak is the physical manifestation of the Blood God’s wrathful vengeance. Once he has the scent of his quarry, this tireless hunter will not cease in his hunt until he tastes their torn flesh between his fangs.|Any %000017008<b>Claws of Karanak</b>%, Any %000016977<b>Flesh Hounds</b>%|||Beast Hero|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Karanak|8"|5+|2|7|6+|1|110|
000000183|Bloodcrushers|BoK||The ground shakes beneath the onrushing fury of the Bloodcrushers before they crash into the enemy with the force of a falling mountain. Those not trampled beneath the Juggernauts’ hooves are slain by the swinging hellblades of the beasts’ riders.||||Cavalry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Bloodcrushers|10"|4+|2|5|6+|3|130|
000000184|Flesh Hounds|BoK||Swift, strong, and tenacious beyond mortal reason, Flesh Hounds run their prey to the ground without mercy. Those who seek to trick or destroy these daemonic beasts with sorcery find their powers flickering to nothing, extinguished by the wrath of Khorne.||||Beast|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Flesh-Hounds|8"|6+|1|2|6+|5|100|
000000185|Khorgorath|BoK||All know to fear the Khorgoraths of Khorne. Rampaging super-predators with an endless hunger for skulls, they are almost impossible to kill and smash through the enemy with no thought for anything but indiscriminate slaughter.||||Monster|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Khorgorath|8"|5+|2|8||1|120|
000000186|Mighty Skullcrushers|BoK||The ground shakes beneath pounding Juggernaut hooves as the Mighty Skullcrushers ride into battle. Foes are smashed aside by the impact of their charge, and any survivors are soon reduced to piles of gore by the riders’ axes.||||Cavalry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Mighty-Skullcrushers|10"|2+|2|5||3|200|
000000187|Skullreapers|BoK||It is the sworn task of the Skullreapers to claim worthy skulls for Khorne, and it is a duty they go about with savage determination. Wielding daemon-touched weapons and blessed with death-dealing mutations, these warriors decimate the enemy ranks.||||Infantry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Skullreapers|5"|4+|1|3||5|170|
000000188|Wrathmongers|BoK||With the chained hammers of their flails whipping around them, the Wrathmongers hurl themselves at the enemy. A bloody red mist hangs around these berserkers as they go about their butchery, driving combatants into a maddened frenzy.||||Infantry|false|false|https://wahapedia.ru/aos4/factions/blades-of-khorne/Wrathmongers|5"|5+|1|3||5|130|
000000189|Garrek’s Reavers|BoK|000000138|Even amongst the pitiless hordes of the Goretide, the Bloodreavers led by Garrek Gorebeard are known for their cruelty and deranged ferocity. It is said that Garrek personally guts and skins any of his warriors who fail to take a worthy trophy in battle.||This unit cannot be reinforced.|<i>Each model in this unit is armed with Reaver Blades and Axes. The models in this unit are:<br><ul><li>Garrek Gorebeard (champion)</li><li>Blooded Saek</li><li>Karsus the Chained</li><li>Targor</li><li>Arnulf</li></ul></i>|Infantry|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Garrek-s-Reavers|5"|6+|1|2||5|70|
000000191|Magore’s Fiends|BoK|000000138|Magore Redhand leads his band of killers on an endless hunt for worthy skulls. In return for his prodigious offerings, Khorne has blessed the Blood Warrior with profane gifts, including a daemonic maw in his gut that can bite through even sigmarite.||This unit cannot be reinforced.|<i>The models in this unit are:<br><ul><li>Magore Redhand (champion, armed with a Goreaxe)</li><li>Zharkus the Bloodsighted (armed with a Goreaxe)</li><li>Ghartok Flayskull (armed with a Goreaxe)</li><li>Riptooth (armed with Blood-dark Claws)</li></ul></i>|Infantry|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Magore-s-Fiends|5"|3+|1|3||4|120|
000001533|Gorechosen of Dromm|BoK|000000138|Dromm, Wounder of Worlds, Slaughterpriest of Great Khorne, seeks to commit the ultimate act of violence in the name of his murderous god. With his cursed axe he would carve open the realms themselves, causing the lands to shudder and writhe in agony. Together known as the Gorechosen of Dromm, the Skullgrinder Herax and the muscle- bound Gorehulk accompany the self-proclaimed Wounder of Worlds on his deranged quest to mutilate the realms, slaughtering anything that gets in their way.||This unit cannot be reinforced.|<i>Each model in this unit is armed with Weapons of Wrath. The models in this unit are:<br><ul><li>Dromm, Wounder of Worlds (champion)</li><li>Skullgrinder Herax</li><li>The Gorehulk</li></ul></i>|Infantry|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Gorechosen-of-Dromm|5"|4+|1|3||3|190|
000001566|Claws of Karanak|BoK||The Claws of Karanak venerate the Flesh Hounds of Khorne, taking on an aspect of the daemons’ bloodthirsty nature as they hunt the enemies of the Blood God and hack them to shreds in horrific displays of brutality.||This unit cannot be reinforced.||Infantry|false|true|https://wahapedia.ru/aos4/factions/blades-of-khorne/Claws-of-Karanak|6"|5+|1|1||8|100|
